label,one,two,three,four,five,six,seven,label_bracket,index
15,(,7,*,2,),+,1,1,140
9,8,+,(,5,-,4,),1,141
0,(,0,*,7,),*,9,1,142
8,(,2,*,5,),-,2,1,143
9,(,0,+,1,),*,9,1,144
9,(,6,+,5,),-,2,1,145
8,(,1,+,5,),+,2,1,146
90,5,*,6,*,3,,,0,147
15,(,5,+,8,),+,2,1,148
5,1,+,(,1,+,3,),1,149
30,6,+,4,*,6,,,0,150
13,2,+,6,+,5,,,0,151
4,6,-,(,1,+,1,),1,152
20,5,*,(,5,-,1,),1,153
-12,6,-,(,2,*,9,),1,154
5,6,+,(,5,-,6,),1,155
10,4,+,5,+,1,,,0,156
0,0,*,6,*,7,,,0,157
4,4,*,(,4,-,3,),1,158
12,(,0,+,3,),+,9,1,159
15,6,*,3,-,3,,,0,160
47,5,+,(,6,*,7,),1,161
2,(,2,-,0,),-,0,1,162
0,0,*,0,*,1,,,0,163
17,7,+,(,8,+,2,),1,164
5,4,+,(,4,-,3,),1,165
9,8,+,(,1,*,1,),1,166
0,0,*,2,*,3,,,0,167
25,(,4,*,7,),-,3,1,168
-5,2,-,4,-,3,,,0,169
4,1,*,4,*,1,,,0,170
432,8,*,9,*,6,,,0,171
-2,2,+,1,-,5,,,0,172
-1,1,+,5,-,7,,,0,173
160,5,*,4,*,8,,,0,174
7,7,-,8,+,8,,,0,175
8,1,-,1,+,8,,,0,176
12,(,2,*,6,),-,0,1,177
-24,8,*,(,5,-,8,),1,178
20,5,*,(,4,-,0,),1,179
-3,0,-,2,-,1,,,0,180
20,5,*,(,7,-,3,),1,181
126,6,*,(,3,*,7,),1,182
33,(,6,+,5,),*,3,1,183
16,(,9,+,4,),+,3,1,184
1,1,+,(,0,*,0,),1,185
-7,1,-,1,*,8,,,0,186
-12,(,0,-,4,),*,3,1,187
81,(,3,*,9,),*,3,1,188
5,(,8,*,0,),+,5,1,189
8,2,+,(,2,+,4,),1,190
1,3,-,7,+,5,,,0,191
-3,3,-,(,1,+,5,),1,192
4,4,+,(,5,*,0,),1,193
-35,7,*,(,1,-,6,),1,194
5,0,*,2,+,5,,,0,195
-7,6,-,(,4,+,9,),1,196
55,7,+,(,8,*,6,),1,197
5,9,-,2,-,2,,,0,198
2,5,*,2,-,8,,,0,199
29,(,6,*,5,),-,1,1,200
45,6,*,8,-,3,,,0,201
13,3,+,6,+,4,,,0,202
-28,(,0,-,4,),*,7,1,203
5,(,1,-,1,),+,5,1,204
36,6,*,5,+,6,,,0,205
0,3,*,8,*,0,,,0,206
1,1,-,(,6,*,0,),1,207
5,(,7,-,0,),-,2,1,208
-6,(,1,-,7,),+,0,1,209
3,0,-,(,4,-,7,),1,210
9,8,+,(,1,*,1,),1,211
0,0,-,(,0,*,6,),1,212
14,1,*,(,7,+,7,),1,213
729,9,*,(,9,*,9,),1,214
-5,(,8,-,7,),-,6,1,215
16,5,+,(,6,+,5,),1,216
2,(,2,+,9,),-,9,1,217
46,6,*,8,-,2,,,0,218
-4,8,-,3,-,9,,,0,219
21,(,2,+,1,),*,7,1,220
-21,7,*,(,1,-,4,),1,221
16,(,7,+,9,),-,0,1,222
12,8,+,(,5,-,1,),1,223
8,(,5,+,6,),-,3,1,224
-63,(,0,-,7,),*,9,1,225
18,3,*,3,*,2,,,0,226
17,(,1,*,9,),+,8,1,227
-4,4,-,(,1,+,7,),1,228
36,(,9,*,4,),-,0,1,229
23,4,*,8,-,9,,,0,230
1,9,-,8,+,0,,,0,231
13,4,+,(,7,+,2,),1,232
13,(,6,*,2,),+,1,1,233
-8,6,-,6,-,8,,,0,234
15,(,3,*,7,),-,6,1,235
6,(,2,*,3,),*,1,1,236
7,4,-,3,+,6,,,0,237
45,(,6,-,1,),*,9,1,238
4,(,4,-,5,),+,5,1,239
-8,0,-,8,-,0,,,0,240
8,3,-,(,1,-,6,),1,241
9,9,+,(,1,-,1,),1,242
-6,(,5,-,8,),*,2,1,243
49,8,*,7,-,7,,,0,244
-8,(,4,-,6,),-,6,1,245
0,1,-,(,0,+,1,),1,246
11,1,+,(,6,+,4,),1,247
-2,1,+,2,-,5,,,0,248
10,(,4,-,3,),+,9,1,249
30,7,*,4,+,2,,,0,250
21,9,+,5,+,7,,,0,251
5,9,*,0,+,5,,,0,252
0,9,+,0,-,9,,,0,253
1,0,*,3,+,1,,,0,254
6,5,+,1,+,0,,,0,255
7,9,-,7,+,5,,,0,256
21,(,7,*,4,),-,7,1,257
18,2,+,2,*,8,,,0,258
-6,4,-,(,4,+,6,),1,259
1,3,+,(,2,-,4,),1,260
-6,(,3,-,9,),-,0,1,261
108,9,*,(,4,*,3,),1,262
18,5,*,5,-,7,,,0,263
2,2,-,4,*,0,,,0,264
2,7,-,7,+,2,,,0,265
18,0,+,9,+,9,,,0,266
0,6,*,(,8,-,8,),1,267
2,3,-,9,+,8,,,0,268
2,4,-,(,5,-,3,),1,269
11,(,2,+,4,),+,5,1,270
0,(,4,-,4,),*,9,1,271
14,7,*,1,*,2,,,0,272
0,(,6,+,2,),*,0,1,273
-3,6,-,(,3,*,3,),1,274
6,(,3,+,6,),-,3,1,275
-7,1,-,8,-,0,,,0,276
6,(,4,-,1,),+,3,1,277
5,1,-,3,+,7,,,0,278
10,3,+,(,1,+,6,),1,279
13,(,7,+,2,),+,4,1,280
4,4,+,5,*,0,,,0,281
5,5,+,(,2,-,2,),1,282
8,(,5,+,3,),*,1,1,283
4,5,+,(,4,-,5,),1,284
0,(,2,-,9,),*,0,1,285
9,6,-,5,+,8,,,0,286
-2,2,*,(,1,-,2,),1,287
1,5,-,(,2,*,2,),1,288
4,9,-,1,-,4,,,0,289
4,(,5,*,1,),-,1,1,290
4,(,0,*,5,),+,4,1,291
36,9,+,(,9,*,3,),1,292
15,3,+,(,3,+,9,),1,293
-2,1,*,1,-,3,,,0,294
20,4,*,4,+,4,,,0,295
64,0,+,(,8,*,8,),1,296
16,(,4,*,3,),+,4,1,297
1,(,3,+,7,),-,9,1,298
18,6,+,(,7,+,5,),1,299
0,(,0,*,0,),-,0,1,300
56,7,*,4,*,2,,,0,301
3,(,4,-,5,),+,4,1,302
32,(,8,*,5,),-,8,1,303
81,9,*,(,3,*,3,),1,304
6,8,-,8,+,6,,,0,305
-30,(,2,-,8,),*,5,1,306
-22,5,-,(,9,*,3,),1,307
3,(,3,+,1,),-,1,1,308
0,0,*,1,*,0,,,0,309
320,5,*,(,8,*,8,),1,310
-36,9,*,(,4,-,8,),1,311
-12,(,4,-,8,),*,3,1,312
4,2,-,4,+,6,,,0,313
11,9,+,2,*,1,,,0,314
99,(,8,+,3,),*,9,1,315
16,(,5,*,5,),-,9,1,316
5,9,+,(,2,-,6,),1,317
10,0,+,(,6,+,4,),1,318
7,(,0,*,7,),+,7,1,319
7,7,-,(,7,*,0,),1,320
5,1,+,3,+,1,,,0,321
1,9,-,2,-,6,,,0,322
9,9,-,(,0,+,0,),1,323
11,6,+,(,3,+,2,),1,324
0,0,*,7,*,9,,,0,325
8,5,-,(,0,-,3,),1,326
-27,0,-,3,*,9,,,0,327
8,8,+,0,*,4,,,0,328
14,9,-,2,+,7,,,0,329
30,(,7,*,4,),+,2,1,330
35,6,*,7,-,7,,,0,331
-27,1,-,7,*,4,,,0,332
7,3,-,1,+,5,,,0,333
5,(,8,-,3,),*,1,1,334
-6,(,2,*,1,),-,8,1,335
10,7,+,(,2,+,1,),1,336
7,7,+,2,*,0,,,0,337
6,1,*,0,+,6,,,0,338
18,2,*,9,+,0,,,0,339
4,8,+,(,5,-,9,),1,340
64,(,4,*,2,),*,8,1,341
5,(,1,*,4,),+,1,1,342
10,7,-,6,+,9,,,0,343
3,3,-,(,1,*,0,),1,344
52,(,9,*,6,),-,2,1,345
9,(,9,+,1,),-,1,1,346
0,0,*,(,8,+,9,),1,347
13,0,+,(,4,+,9,),1,348
-6,4,-,(,1,+,9,),1,349
-6,(,1,-,2,),-,5,1,350
34,4,*,9,-,2,,,0,351
-13,5,-,(,9,*,2,),1,352
-9,6,-,(,6,+,9,),1,353
15,(,4,+,8,),+,3,1,354
7,6,-,(,3,-,4,),1,355
13,(,3,*,7,),-,8,1,356
2,(,6,-,4,),-,0,1,357
-1,2,-,9,+,6,,,0,358
7,7,+,8,*,0,,,0,359
4,5,+,(,1,-,2,),1,360
11,(,3,*,1,),+,8,1,361
-1,7,-,(,7,+,1,),1,362
8,8,-,3,+,3,,,0,363
-9,5,-,7,-,7,,,0,364
10,7,-,2,+,5,,,0,365
1,4,-,(,7,-,4,),1,366
9,1,+,(,9,-,1,),1,367
16,3,+,(,7,+,6,),1,368
21,(,5,+,8,),+,8,1,369
14,(,5,+,5,),+,4,1,370
3,3,+,9,-,9,,,0,371
20,0,+,(,4,*,5,),1,372
13,7,+,(,0,+,6,),1,373
18,5,+,6,+,7,,,0,374
7,6,+,(,7,-,6,),1,375
1,(,3,-,6,),+,4,1,376
9,3,*,(,6,-,3,),1,377
5,(,5,+,9,),-,9,1,378
50,5,*,(,9,+,1,),1,379
24,(,6,+,2,),*,3,1,380
0,7,*,(,8,-,8,),1,381
-33,3,-,(,6,*,6,),1,382
13,(,4,+,1,),+,8,1,383
-2,0,*,7,-,2,,,0,384
-1,(,8,-,9,),+,0,1,385
0,0,*,(,2,+,4,),1,386
88,8,*,(,3,+,8,),1,387
104,8,*,(,8,+,5,),1,388
16,8,+,(,8,*,1,),1,389
-1,8,-,(,9,-,0,),1,390
-72,9,*,(,0,-,8,),1,391
16,3,*,6,-,2,,,0,392
40,5,*,(,6,+,2,),1,393
-9,(,1,-,4,),*,3,1,394
13,7,+,6,-,0,,,0,395
0,(,1,-,5,),+,4,1,396
9,3,*,2,+,3,,,0,397
280,7,*,8,*,5,,,0,398
0,8,-,2,*,4,,,0,399
28,4,+,(,4,*,6,),1,400
2,7,-,8,+,3,,,0,401
12,0,+,3,*,4,,,0,402
-9,7,-,2,*,8,,,0,403
9,8,+,5,-,4,,,0,404
3,(,4,-,3,),*,3,1,405
12,(,6,*,3,),-,6,1,406
21,6,+,(,8,+,7,),1,407
-32,0,-,8,*,4,,,0,408
-5,3,-,8,+,0,,,0,409
7,2,+,1,*,5,,,0,410
0,4,*,(,5,*,0,),1,411
13,1,+,(,4,+,8,),1,412
32,2,+,5,*,6,,,0,413
24,(,6,*,2,),*,2,1,414
65,8,*,8,+,1,,,0,415
6,9,-,9,+,6,,,0,416
-4,4,-,(,6,+,2,),1,417
26,8,*,3,+,2,,,0,418
12,(,1,+,5,),+,6,1,419
18,3,*,3,+,9,,,0,420
-2,3,+,(,4,-,9,),1,421
168,3,*,(,8,*,7,),1,422
-1,4,-,1,-,4,,,0,423
-55,1,-,7,*,8,,,0,424
9,3,+,1,*,6,,,0,425
9,8,+,(,0,+,1,),1,426
7,3,+,(,4,*,1,),1,427
14,7,+,(,3,+,4,),1,428
5,3,+,7,-,5,,,0,429
15,(,4,-,1,),*,5,1,430
6,2,+,2,*,2,,,0,431
20,4,*,(,9,-,4,),1,432
12,5,-,0,+,7,,,0,433
11,(,8,+,3,),+,0,1,434
13,8,+,3,+,2,,,0,435
25,5,+,5,*,4,,,0,436
0,(,2,-,2,),*,0,1,437
31,6,*,4,+,7,,,0,438
8,2,*,3,+,2,,,0,439
12,8,+,(,4,*,1,),1,440
-30,6,-,(,9,*,4,),1,441
0,(,2,*,3,),-,6,1,442
7,5,-,(,5,-,7,),1,443
9,8,+,(,1,+,0,),1,444
6,0,*,5,+,6,,,0,445
15,9,+,3,*,2,,,0,446
19,3,+,(,7,+,9,),1,447
1,1,*,(,5,-,4,),1,448
2,9,-,(,3,+,4,),1,449
-25,5,-,5,*,6,,,0,450
3,6,+,(,6,-,9,),1,451
45,(,5,+,4,),*,5,1,452
23,(,4,*,8,),-,9,1,453
0,9,*,(,6,-,6,),1,454
-5,1,-,(,1,+,5,),1,455
-2,(,7,-,9,),*,1,1,456
12,(,1,+,8,),+,3,1,457
45,5,*,(,2,+,7,),1,458
10,6,+,4,+,0,,,0,459
23,7,+,8,*,2,,,0,460
-2,1,+,6,-,9,,,0,461
2,2,-,9,+,9,,,0,462
-8,(,1,-,2,),-,7,1,463
13,8,+,(,4,+,1,),1,464
2,0,*,1,+,2,,,0,465
9,8,+,0,+,1,,,0,466
63,9,*,(,7,*,1,),1,467
10,8,+,(,2,*,1,),1,468
88,(,9,*,9,),+,7,1,469
17,(,2,*,6,),+,5,1,470
40,(,9,-,4,),*,8,1,471
11,4,-,1,+,8,,,0,472
16,5,*,5,-,9,,,0,473
24,4,+,5,*,4,,,0,474
8,0,+,0,+,8,,,0,475
11,8,-,5,+,8,,,0,476
56,(,7,*,1,),*,8,1,477
-9,(,6,-,9,),*,3,1,478
0,4,-,0,-,4,,,0,479
7,9,+,(,4,-,6,),1,480
-4,(,3,-,7,),+,0,1,481
8,2,+,3,+,3,,,0,482
5,5,+,(,3,*,0,),1,483
-1,9,-,8,-,2,,,0,484
-2,2,*,(,8,-,9,),1,485
9,0,*,3,+,9,,,0,486
6,(,3,*,1,),*,2,1,487
14,(,2,*,8,),-,2,1,488
-12,(,6,-,8,),*,6,1,489
6,1,*,1,+,5,,,0,490
-4,2,-,6,+,0,,,0,491
-6,3,-,(,9,*,1,),1,492
7,5,+,(,9,-,7,),1,493
144,(,8,*,2,),*,9,1,494
4,1,+,(,4,-,1,),1,495
-2,4,-,(,1,*,6,),1,496
2,2,*,(,9,-,8,),1,497
55,(,7,*,9,),-,8,1,498
33,1,+,(,4,*,8,),1,499
-7,(,4,-,5,),*,7,1,500
41,9,*,5,-,4,,,0,501
6,(,7,+,1,),-,2,1,502
5,0,*,4,+,5,,,0,503
2,6,*,1,-,4,,,0,504
56,8,*,(,7,*,1,),1,505
-8,(,0,-,2,),*,4,1,506
-9,0,*,7,-,9,,,0,507
288,4,*,9,*,8,,,0,508
-9,8,-,(,8,+,9,),1,509
59,(,9,*,7,),-,4,1,510
1,1,+,7,*,0,,,0,511
-4,2,+,1,-,7,,,0,512
11,4,+,(,7,*,1,),1,513
6,(,6,-,0,),+,0,1,514
21,(,9,+,4,),+,8,1,515
6,6,-,3,+,3,,,0,516
47,(,7,*,8,),-,9,1,517
13,(,2,*,7,),-,1,1,518
126,7,*,9,*,2,,,0,519
3,9,-,(,6,-,0,),1,520
-53,1,-,(,6,*,9,),1,521
19,(,4,*,5,),-,1,1,522
12,8,+,2,+,2,,,0,523
21,3,*,(,6,+,1,),1,524
14,8,+,4,+,2,,,0,525
4,1,+,(,6,-,3,),1,526
0,(,9,*,8,),*,0,1,527
128,(,4,*,4,),*,8,1,528
32,(,9,*,4,),-,4,1,529
30,8,*,4,-,2,,,0,530
126,9,*,(,5,+,9,),1,531
84,3,+,9,*,9,,,0,532
18,(,3,+,6,),+,9,1,533
5,(,4,+,7,),-,6,1,534
0,4,*,(,6,*,0,),1,535
-31,9,-,(,5,*,8,),1,536
12,(,8,*,2,),-,4,1,537
6,(,4,+,1,),+,1,1,538
5,5,+,0,*,2,,,0,539
7,8,-,(,3,-,2,),1,540
5,7,+,(,4,-,6,),1,541
4,(,4,-,1,),+,1,1,542
-10,5,-,(,9,+,6,),1,543
30,6,*,(,5,+,0,),1,544
11,8,+,(,2,+,1,),1,545
81,9,*,(,9,+,0,),1,546
9,(,2,+,7,),-,0,1,547
-5,3,-,4,-,4,,,0,548
13,1,+,7,+,5,,,0,549
1,2,+,(,8,-,9,),1,550
20,2,+,9,+,9,,,0,551
-4,0,*,8,-,4,,,0,552
9,(,2,+,8,),-,1,1,553
6,5,+,(,6,-,5,),1,554
0,(,8,-,8,),*,1,1,555
2,1,*,(,0,+,2,),1,556
39,9,*,5,-,6,,,0,557
-5,(,0,*,1,),-,5,1,558
-30,5,-,(,7,*,5,),1,559
4,4,+,(,2,*,0,),1,560
25,5,*,(,8,-,3,),1,561
7,7,+,(,6,-,6,),1,562
7,1,*,(,7,-,0,),1,563
22,(,4,*,7,),-,6,1,564
3,3,*,(,1,+,0,),1,565
14,8,+,(,7,-,1,),1,566
10,1,-,0,+,9,,,0,567
10,(,7,+,5,),-,2,1,568
7,(,2,*,4,),-,1,1,569
13,2,+,4,+,7,,,0,570
9,(,9,+,7,),-,7,1,571
-1,0,*,3,-,1,,,0,572
11,6,+,(,2,+,3,),1,573
0,(,3,*,0,),*,6,1,574
-21,(,1,-,8,),*,3,1,575
-30,0,-,6,*,5,,,0,576
8,8,*,1,*,1,,,0,577
-18,3,-,(,7,*,3,),1,578
168,(,8,*,3,),*,7,1,579
9,9,+,(,0,*,4,),1,580
5,6,*,2,-,7,,,0,581
40,(,5,*,2,),*,4,1,582
48,(,6,+,6,),*,4,1,583
-13,8,-,7,*,3,,,0,584
-10,2,-,6,*,2,,,0,585
-13,(,0,-,7,),-,6,1,586
40,4,*,2,*,5,,,0,587
-5,(,3,-,4,),-,4,1,588
-72,9,-,9,*,9,,,0,589
-56,(,2,-,9,),*,8,1,590
441,7,*,9,*,7,,,0,591
-6,(,0,-,1,),-,5,1,592
6,(,0,-,3,),+,9,1,593
3,(,0,*,1,),+,3,1,594
-3,0,+,0,-,3,,,0,595
245,(,7,*,7,),*,5,1,596
0,3,-,(,5,-,2,),1,597
1,(,0,+,6,),-,5,1,598
9,(,7,-,0,),+,2,1,599
-4,2,-,(,8,-,2,),1,600
1,2,*,3,-,5,,,0,601
100,5,*,(,4,*,5,),1,602
22,(,6,+,8,),+,8,1,603
2,2,-,(,9,-,9,),1,604
8,(,4,*,2,),*,1,1,605
10,5,+,(,8,-,3,),1,606
5,8,-,(,7,-,4,),1,607
63,(,9,*,1,),*,7,1,608
-8,(,2,-,3,),-,7,1,609
13,5,*,2,+,3,,,0,610
6,(,0,+,3,),+,3,1,611
90,5,*,(,9,+,9,),1,612
23,3,+,(,5,*,4,),1,613
36,(,9,*,2,),*,2,1,614
-5,0,-,(,4,+,1,),1,615
-15,(,2,-,7,),*,3,1,616
-5,(,1,-,3,),-,3,1,617
8,2,*,8,-,8,,,0,618
-4,(,1,+,4,),-,9,1,619
11,6,+,5,*,1,,,0,620
-1,(,1,-,7,),+,5,1,621
12,9,+,3,*,1,,,0,622
19,3,+,(,8,*,2,),1,623
15,3,*,5,-,0,,,0,624
0,(,4,-,3,),-,1,1,625
7,8,-,(,1,*,1,),1,626
54,6,*,8,+,6,,,0,627
10,4,+,4,+,2,,,0,628
56,7,*,(,2,*,4,),1,629
-9,8,*,0,-,9,,,0,630
8,(,7,+,9,),-,8,1,631
7,4,+,2,+,1,,,0,632
-2,2,*,0,-,2,,,0,633
12,(,9,-,3,),*,2,1,634
12,7,-,(,2,-,7,),1,635
9,4,+,(,5,-,0,),1,636
10,(,8,*,1,),+,2,1,637
10,7,-,6,+,9,,,0,638
-6,5,-,4,-,7,,,0,639
-3,8,-,5,-,6,,,0,640
14,8,+,(,6,+,0,),1,641
11,(,3,+,5,),+,3,1,642
12,(,2,*,2,),+,8,1,643
4,3,+,(,4,-,3,),1,644
0,1,-,(,6,-,5,),1,645
16,7,+,(,2,+,7,),1,646
14,(,5,+,0,),+,9,1,647
-3,8,-,(,9,+,2,),1,648
21,9,+,7,+,5,,,0,649
9,2,*,6,-,3,,,0,650
-12,9,-,3,*,7,,,0,651
-7,(,1,-,2,),*,7,1,652
-4,4,*,(,8,-,9,),1,653
-2,2,-,(,2,+,2,),1,654
7,(,5,+,1,),+,1,1,655
-9,(,6,*,0,),-,9,1,656
15,(,9,-,0,),+,6,1,657
22,4,+,2,*,9,,,0,658
5,1,-,1,+,5,,,0,659
360,9,*,5,*,8,,,0,660
5,(,1,-,2,),+,6,1,661
48,4,*,(,3,*,4,),1,662
37,9,*,5,-,8,,,0,663
17,4,+,4,+,9,,,0,664
48,8,*,(,8,-,2,),1,665
42,(,5,*,8,),+,2,1,666
37,2,+,5,*,7,,,0,667
-11,(,5,-,9,),-,7,1,668
4,3,+,8,-,7,,,0,669
6,(,9,-,3,),*,1,1,670
12,(,6,+,4,),+,2,1,671
14,6,+,8,+,0,,,0,672
-12,1,-,(,4,+,9,),1,673
13,8,+,(,5,-,0,),1,674
8,1,*,(,1,+,7,),1,675
13,3,+,(,7,+,3,),1,676
-1,6,-,(,6,+,1,),1,677
11,4,+,4,+,3,,,0,678
9,6,-,4,+,7,,,0,679
-8,(,0,*,3,),-,8,1,680
21,9,+,5,+,7,,,0,681
3,0,+,(,1,*,3,),1,682
36,4,*,(,7,+,2,),1,683
-7,(,0,-,0,),-,7,1,684
0,4,-,9,+,5,,,0,685
3,1,+,(,1,+,1,),1,686
43,(,9,*,5,),-,2,1,687
6,1,-,4,+,9,,,0,688
72,6,*,(,6,*,2,),1,689
2,3,+,8,-,9,,,0,690
8,(,3,+,2,),+,3,1,691
2,(,1,+,6,),-,5,1,692
55,9,*,6,+,1,,,0,693
5,4,+,3,-,2,,,0,694
3,4,+,(,4,-,5,),1,695
0,(,0,*,4,),*,3,1,696
0,(,0,*,2,),+,0,1,697
63,7,*,(,1,+,8,),1,698
68,(,7,*,9,),+,5,1,699
8,2,-,(,0,-,6,),1,700
0,(,1,*,3,),-,3,1,701
6,9,-,(,1,+,2,),1,702
58,(,9,*,7,),-,5,1,703
12,6,+,(,8,-,2,),1,704
11,2,*,1,+,9,,,0,705
36,4,*,(,2,+,7,),1,706
-4,2,+,(,0,-,6,),1,707
-1,2,-,(,1,+,2,),1,708
13,7,+,(,9,-,3,),1,709
40,5,+,(,5,*,7,),1,710
-2,(,1,*,5,),-,7,1,711
11,8,+,5,-,2,,,0,712
96,8,*,(,3,+,9,),1,713
0,0,*,(,2,+,2,),1,714
20,0,+,(,5,*,4,),1,715
36,(,4,*,1,),*,9,1,716
-5,(,4,-,5,),-,4,1,717
32,(,8,*,4,),+,0,1,718
-57,6,-,7,*,9,,,0,719
6,9,-,8,+,5,,,0,720
3,3,-,1,*,0,,,0,721
2,(,1,-,8,),+,9,1,722
42,7,+,7,*,5,,,0,723
-4,(,9,-,4,),-,9,1,724
7,5,+,(,6,-,4,),1,725
6,(,4,-,7,),+,9,1,726
2,3,-,1,*,1,,,0,727
-4,6,-,(,8,+,2,),1,728
7,5,+,8,-,6,,,0,729
2,2,-,(,0,*,5,),1,730
13,(,8,+,5,),-,0,1,731
20,9,+,(,4,+,7,),1,732
-1,0,-,1,-,0,,,0,733
80,2,*,(,8,*,5,),1,734
6,6,+,(,0,*,3,),1,735
4,4,-,(,6,-,6,),1,736
2,2,+,7,-,7,,,0,737
20,7,+,4,+,9,,,0,738
